uuid;style;artist;title_music;lastfm_music_url;lastfm_artist_url;videoID_youtube;chroma_stft;mfcc;spec_cent;spec_bw;zcr;spec_rolloff
b9aff8e1;country;Johnny Cash;God's Gonna Cut You Down;https://www.last.fm/music/johnny%2bcash;https://www.last.fm/music/johnny%2bcash/_/god%2527s%2bgonna%2bcut%2byou%2bdown;eJlN9jdQFSc;0.3448249168785061;-5.153331413412922;1498.0216995128353;1911.4688166884653;0.05805114829818244;2913.0613425925926
dbdcbb4e;country;The Beatles;What Goes On;https://www.last.fm/music/the%2bbeatles;https://www.last.fm/music/the%2bbeatles/_/what%2bgoes%2bon;PtC_l4kz7yw;0.4189894089658404;2.371881430728179;2394.827122844552;2545.859750746853;0.0996642637587822;5253.222020589742
127c9e40;country;Johnny Cash;Give My Love to Rose;https://www.last.fm/music/johnny%2bcash;https://www.last.fm/music/johnny%2bcash/_/give%2bmy%2blove%2bto%2brose;D1LBKTONZ0M;0.3257270418702841;-2.256206160791558;1287.0986590356752;1732.7991198184416;0.049842994707745315;2552.675207727074
c6833f3e;country;Johnny Cash;Get Rhythm;https://www.last.fm/music/johnny%2bcash;https://www.last.fm/music/johnny%2bcash/_/get%2brhythm;ODjCufSt6_I;0.2937575111942213;-0.8578788847640365;1955.2534559589785;2171.091032734397;0.07627198492462313;4185.217886306533
d7b2d9da;country;Wilco;I Am Trying to Break Your Heart;https://www.last.fm/music/wilco;https://www.last.fm/music/wilco/_/i%2bam%2btrying%2bto%2bbreak%2byour%2bheart;zlxH9-TYseY;0.3784507578057784;1.2851892850026343;1813.050256400051;2147.202316290668;0.07905463969286812;3747.9130337891374
c9aefa83;country;The Beatles;Rocky Raccoon;https://www.last.fm/music/the%2bbeatles;https://www.last.fm/music/the%2bbeatles/_/rocky%2braccoon;sDcDCZGcZj8;0.31881072285009376;-2.2961733804940745;2135.1534393173433;2560.910430836677;0.08578345699297844;4768.28357340229
69596adc;country;Avenged Sevenfold;Dear God;https://www.last.fm/music/avenged%2bsevenfold;https://www.last.fm/music/avenged%2bsevenfold/_/dear%2bgod;EaMhX3th_Sc;0.3458497678693808;4.589105305384331;2106.773046239041;2439.1817921258544;0.08743565665891696;4604.523099388039
359f608c;country;Shania Twain;You're Still the One;https://www.last.fm/music/shania%2btwain;https://www.last.fm/music/shania%2btwain/_/you%2527re%2bstill%2bthe%2bone;KNZH-emehxA;0.2972712387834265;-4.8206004127043744;2741.5459759780565;2648.248065483077;0.12453256242089518;5858.189548522719
c179ccc5;country;Kings of Leon;Back Down South;https://www.last.fm/music/kings%2bof%2bleon;https://www.last.fm/music/kings%2bof%2bleon/_/back%2bdown%2bsouth;DBOuqyqmtJk;0.3694966985462376;-1.1343072664625782;1633.869920009544;2037.274935700864;0.06808997524605362;3505.883336348333
88c64bd7;country;The Tallest Man on Earth;I Won't Be Found;https://www.last.fm/music/the%2btallest%2bman%2bon%2bearth;https://www.last.fm/music/the%2btallest%2bman%2bon%2bearth/_/i%2bwon%2527t%2bbe%2bfound;sWaZJOU4GY8;0.2603078065606526;-12.828002628313936;1489.0212094075346;1757.0267447912308;0.061121242591429786;2895.110403489494
